lemme,cgram,gender,freqlivres_total,french_formatted,english
teinte,NOM,f,12.9,la teinte,the tint
bourreau,NOM,m,12.9,le bourreau,the executioner
pilule,NOM,f,12.9,la pilule,the pill
broncher,VER,,12.88,broncher,flinch
hériter,VER,,12.87,hériter,inherit
blottir,VER,,12.87,blottir,snuggle up
poster,VER,,12.86,poster,poster
vaciller,VER,,12.85,vaciller,sway
croyant,NOM,m,12.84,le croyant,the believer
logis,NOM,m,12.84,le logis,the lodging
masser,VER,,12.84,masser,lots
registre,NOM,m,12.84,le registre,the register
librement,ADV,,12.84,librement,freely
écurie,NOM,f,12.84,la écurie,the stable
tendrement,ADV,,12.84,tendrement,tenderly
dune,NOM,f,12.84,la dune,the dune
olivier,NOM,m,12.84,le olivier,the olive tree
bungalow,NOM,m,12.84,le bungalow,The bungalow
curieusement,ADV,,12.84,curieusement,curiously
fourmi,NOM,f,12.78,la fourmi,the ant
chevaucher,VER,,12.78,chevaucher,ride
éclairage,NOM,m,12.77,le éclairage,the lighting
triomphant,ADJ,,12.77,triomphant,triumphant
chignon,NOM,m,12.77,le chignon,the bun
dose,NOM,f,12.77,la dose,the dose
délégation,NOM,f,12.77,la délégation,the delegation
décharge,NOM,f,12.77,la décharge,the discharge
stylo,NOM,m,12.77,le stylo,the fountain pen
querelle,NOM,f,12.77,la querelle,the quarrel
vestibule,NOM,m,12.77,le vestibule,the vestibule
routine,NOM,f,12.77,la routine,the routine
slip,NOM,m,12.77,le slip,the underpants
chef-d'oeuvre,NOM,m,12.77,le chef-d'oeuvre,the masterpiece
aimé,ADJ,,12.76,aimé,love
plaider,VER,,12.75,plaider,plead
anéantir,VER,,12.73,anéantir,to annihilate
classer,VER,,12.72,classer,to classify
griller,VER,,12.72,griller,grills
pèlerin,NOM,m,12.71,le pèlerin,the pilgrim
banquier,NOM,m,12.71,le banquier,the banker
emplacement,NOM,m,12.71,le emplacement,the location
proportion,NOM,f,12.71,la proportion,the proportion
abstrait,ADJ,,12.71,abstrait,abstract
tiré,ADJ,,12.7,tiré,pulled
impuissant,ADJ,,12.7,impuissant,powerless
cavalerie,NOM,f,12.7,la cavalerie,to the cavalry
avant-bras,NOM,m,12.7,le avant-bras,the forearm
delà,ADV,,12.7,delà,beyond
légèreté,NOM,f,12.7,la légèreté,lightness
rhum,NOM,m,12.7,le rhum,rum
petit-fils,NOM,m,12.7,le petit-fils,the grandson
commissariat,NOM,m,12.7,le commissariat,the police station
croquer,VER,,12.67,croquer,to crunch
interpréter,VER,,12.67,interpréter,interpret
atténuer,VER,,12.67,atténuer,mitigate
gonflé,ADJ,,12.64,gonflé,swollen
permanence,NOM,f,12.64,la permanence,permanence
osier,NOM,m,12.64,le osier,the wicker
museau,NOM,m,12.64,le museau,the snout
vôtre,PRO:pos,,12.64,vôtre,your
communauté,NOM,f,12.64,la communauté,the community
mercredi,NOM,m,12.63,le mercredi,the Wednesday
tien,NOM,m,12.63,le tien,yours
convention,NOM,f,12.63,la convention,the convention
coque,NOM,f,12.63,la coque,the hull
vibration,NOM,f,12.63,la vibration,la vibration
noblesse,NOM,f,12.63,la noblesse,the nobility
trébucher,VER,,12.62,trébucher,stumble
aménager,VER,,12.61,aménager,to develop (a building)
adapter,VER,,12.61,adapter,adapter
aventurer,VER,,12.6,aventurer,to venture
charrier,VER,,12.6,charrier,to carry
farcir,VER,,12.58,farcir,fill
réfugié,NOM,m,12.58,le réfugié,the refugee
faciliter,VER,,12.58,faciliter,facilitate
successivement,ADV,,12.57,successivement,successively
ravitaillement,NOM,m,12.57,le ravitaillement,the refueling
allongé,ADJ,,12.57,allongé,elongate
sentinelle,NOM,f,12.57,la sentinelle,the sentinel
tapisserie,NOM,f,12.57,la tapisserie,the tapestry
flingue,NOM,m,12.57,le flingue,the gun
installation,NOM,f,12.57,la installation,the installation
médicament,NOM,m,12.57,le médicament,the medicine
chandelle,NOM,f,12.57,la chandelle,the candle
dessert,NOM,m,12.57,le dessert,the dessert
bosse,NOM,f,12.56,la bosse,the hump
terrestre,ADJ,,12.56,terrestre,land
majorité,NOM,f,12.56,la majorité,the majority
pari,NOM,m,12.56,le pari,the equals
agité,ADJ,,12.51,agité,agitated
froisser,VER,,12.51,froisser,crumple
cliché,NOM,m,12.51,le cliché,the cliché
racler,VER,,12.5,racler,scrape
mis,ADJ,,12.5,mis,what
corridor,NOM,m,12.5,le corridor,the corridor
salaire,NOM,m,12.5,le salaire,the salary
déçu,ADJ,,12.5,déçu,disappointed/disillusioned
brûlure,NOM,f,12.5,la brûlure,the burn
bravo,ONO,,12.5,bravo,bravo
établi,ADJ,,12.5,établi,established
enseignement,NOM,m,12.5,le enseignement,the teaching
collaboration,NOM,f,12.5,la collaboration,the collaboration
élastique,ADJ,,12.5,élastique,elastic
contraste,NOM,m,12.5,le contraste,the contrast
farce,NOM,f,12.5,la farce,the stuffing
pleur,NOM,m,12.5,le pleur,the cry
relevé,ADJ,,12.49,relevé,statement
neutre,ADJ,,12.489999999999998,neutre,neutral
déformer,VER,,12.45,déformer,deform
désolé,ADJ,,12.44,désolé,Sorry
imprévisible,ADJ,,12.44,imprévisible,unpredictable
acquiescer,VER,,12.44,acquiescer,acquiesce
conséquent,ADJ,,12.43,conséquent,consequent
vaisseau,NOM,m,12.43,le vaisseau,the ship
analyse,NOM,f,12.43,la analyse,the analysis
tenace,ADJ,,12.43,tenace,tenacious
nièce,NOM,f,12.43,la nièce,the niece
tonton,NOM,m,12.43,le tonton,the uncle
pic,NOM,m,12.43,le pic,the peak
épine,NOM,f,12.43,la épine,the thorn
vestiaire,NOM,m,12.43,le vestiaire,the changing room
normalement,ADV,,12.43,normalement,Normally
porcelaine,NOM,f,12.43,la porcelaine,porcelain
calmement,ADV,,12.43,calmement,calmly
indication,NOM,f,12.43,la indication,the indication
salé,ADJ,,12.43,salé,dirty
dégringoler,VER,,12.43,dégringoler,tumble
brigade,NOM,f,12.43,la brigade,the brigade
paresse,NOM,f,12.43,la paresse,laziness
tueur,NOM,m,12.43,le tueur,the killer
dispute,NOM,f,12.43,la dispute,the dispute
médecine,NOM,f,12.43,la médecine,medicine
lucide,ADJ,,12.43,lucide,lucid
scintiller,VER,,12.39,scintiller,sparkle
grimacer,VER,,12.39,grimacer,grimace
baver,VER,,12.38,baver,drool
peiner,VER,,12.38,peiner,Peiner
blindé,ADJ,,12.37,blindé,armored
crabe,NOM,m,12.37,le crabe,the crab
arcade,NOM,f,12.37,la arcade,the arcade
recoin,NOM,m,12.37,le recoin,the corner
saveur,NOM,f,12.37,la saveur,the flavor
battu,ADJ,,12.37,battu,beaten
sensibilité,NOM,f,12.37,la sensibilité,sensitivity
attaché,NOM,m,12.36,le attaché,the attached
dépourvoir,VER,,12.36,dépourvoir,to deprive
ingénieur,NOM,m,12.36,le ingénieur,the engineer
dortoir,NOM,m,12.36,le dortoir,the dormitory
département,NOM,m,12.36,le département,the department
primitif,ADJ,,12.35,primitif,primitive
contracter,VER,,12.33,contracter,contract
défier,VER,,12.32,défier,challenge
dicter,VER,,12.32,dicter,anger
dissoudre,VER,,12.31,dissoudre,dissolve
prescrire,VER,,12.3,prescrire,prescribe
offensive,NOM,f,12.3,la offensive,la offensive
grappe,NOM,f,12.3,la grappe,the cluster
tourment,NOM,m,12.3,le tourment,the torment
sillon,NOM,m,12.3,le sillon,the furrow
autrui,PRO:ind,,12.3,autrui,others
dénouer,VER,,12.3,dénouer,untie
éditeur,NOM,m,12.3,le éditeur,the editor
ignoble,ADJ,,12.3,ignoble,ignoble
astre,NOM,m,12.29,le astre,the star
mystique,ADJ,,12.29,mystique,mystique
mâcher,VER,,12.29,mâcher,chew
blanchir,VER,,12.27,blanchir,whiten
réapparaître,VER,,12.25,réapparaître,reappear
républicain,ADJ,,12.24,républicain,republican
cicatrice,NOM,f,12.23,la cicatrice,to the scar
architecture,NOM,f,12.23,la architecture,the architecture
toux,NOM,f,12.23,la toux,cough
billard,NOM,m,12.23,le billard,billiards
surveillance,NOM,f,12.23,la surveillance,surveillance
épave,NOM,f,12.23,la épave,the wreck
dragon,NOM,m,12.23,le dragon,the dragon
serment,NOM,m,12.23,le serment,the oath
démonstration,NOM,f,12.23,la démonstration,the demonstration
dureté,NOM,f,12.23,la dureté,hardness
noix,NOM,f,12.23,la noix,the nut
obstination,NOM,f,12.23,la obstination,the stubbornness
braise,NOM,f,12.23,la braise,the embers
rédaction,NOM,f,12.23,la rédaction,the editorial staff
cordon,NOM,m,12.23,le cordon,the cord
incessant,ADJ,,12.22,incessant,incessant
poison,NOM,m,12.22,le poison,the poison
tapir,VER,,12.17,tapir,tapir
dette,NOM,f,12.17,la dette,he said it
gourmand,ADJ,,12.17,gourmand,gourmand
repenser,VER,,12.16,repenser,rethink
contemporain,NOM,m,12.16,le contemporain,the contemporary
éloigné,ADJ,,12.16,éloigné,distant
limpide,ADJ,,12.16,limpide,clear
formation,NOM,f,12.16,la formation,the course (of studies)
insensible,ADJ,,12.16,insensible,insensible
cantine,NOM,f,12.16,la cantine,the canteen
évier,NOM,m,12.16,le évier,the sink
tonneau,NOM,m,12.16,le tonneau,the barrel
artificiel,ADJ,,12.16,artificiel,artificial
assassinat,NOM,m,12.16,le assassinat,the assassination
piaule,NOM,f,12.16,la piaule,the room
refiler,VER,,12.14,refiler,pass on
impliquer,VER,,12.12,impliquer,involve
déverser,VER,,12.12,déverser,pour out
démontrer,VER,,12.11,démontrer,demonstrate
ruiner,VER,,12.11,ruiner,ruins
brute,NOM,f,12.1,la brute,the brute
humilité,NOM,f,12.1,la humilité,humility
remise,NOM,f,12.1,la remise,the discount
sot,ADJ,,12.1,sot,tODAY
hésitant,ADJ,,12.1,hésitant,hesitant
couchant,NOM,m,12.1,le couchant,the sunset
ému,ADJ,,12.09,ému,moved
radieux,ADJ,,12.09,radieux,radiant
châle,NOM,m,12.09,le châle,the shawl
impérieux,ADJ,,12.09,impérieux,imperative
mental,ADJ,,12.09,mental,mental
vainement,ADV,,12.09,vainement,in vain
embarras,NOM,m,12.09,le embarras,the embarrassment
fréquent,ADJ,,12.09,fréquent,frequent
rattacher,VER,,12.06,rattacher,attach
explorer,VER,,12.04,explorer,explorer
couver,VER,,12.04,couver,to cover
romantique,ADJ,,12.04,romantique,romantic
frêle,ADJ,,12.03,frêle,frail
algue,NOM,f,12.03,la algue,the algae
héritage,NOM,m,12.03,le héritage,the legacy
cadet,NOM,m,12.03,le cadet,the cadet
trône,NOM,m,12.03,le trône,the throne
verrou,NOM,m,12.03,le verrou,the lock
boueux,ADJ,,12.03,boueux,muddy
bah,ONO,,12.03,bah,bah
manuel,NOM,m,12.02,le manuel,the manual
onduler,VER,,12.02,onduler,wave
monumental,ADJ,,12.02,monumental,monumental
grillage,NOM,m,12.02,le grillage,the fence
déguster,VER,,12.01,déguster,taste
instruire,VER,,11.99,instruire,EDUCAtIoN
édifier,VER,,11.98,édifier,to build
barbu,ADJ,,11.97,barbu,bearded
piger,VER,,11.97,piger,girls
tombeau,NOM,m,11.96,le tombeau,the tomb
bijou,NOM,m,11.96,le bijou,the jewel
errant,ADJ,,11.96,errant,errant
disponible,ADJ,,11.96,disponible,available
pognon,NOM,m,11.96,le pognon,the money
déterminer,VER,,11.96,déterminer,determine
rouquin,NOM,m,11.96,le rouquin,the redhead
dépôt,NOM,m,11.96,le dépôt,the deposit
pacha,NOM,m,11.96,le pacha,the pasha
averse,NOM,f,11.96,la averse,the averse
torche,NOM,f,11.96,la torche,the torch
dramatique,ADJ,,11.96,dramatique,dramatic
courageux,ADJ,,11.96,courageux,brave
crosse,NOM,f,11.96,la crosse,the cross
renard,NOM,m,11.96,le renard,the fox
pédal,NOM,m,11.96,le pédal,the pedal
chanoine,NOM,m,11.96,le chanoine,the canon
bougre,NOM,m,11.95,le bougre,the bugger
amorcer,VER,,11.92,amorcer,to start
pacte,NOM,m,11.9,le pacte,the pact
pause,NOM,f,11.9,la pause,the break
médical,ADJ,,11.9,médical,medical
décharger,VER,,11.9,décharger,unload
romancier,NOM,m,11.9,le romancier,the novelist
égaré,ADJ,,11.9,égaré,lost
gaulois,NOM,m,11.89,le gaulois,the gaul
cuillère,NOM,f,11.89,la cuillère,the spoon
toi-même,PRO:per,,11.89,toi-même,yourself
globe,NOM,m,11.89,le globe,the globe
susceptible,ADJ,,11.89,susceptible,susceptible
largeur,NOM,f,11.89,la largeur,the width
allégresse,NOM,f,11.89,la allégresse,the joy
suspendu,ADJ,,11.89,suspendu,suspended
orienter,VER,,11.89,orienter,orient
incertitude,NOM,f,11.89,la incertitude,the uncertainty
infime,ADJ,,11.89,infime,tiny
ample,ADJ,,11.89,ample,ample
quinzaine,NOM,f,11.89,la quinzaine,the fortnight
prime,NOM,f,11.88,la prime,the first
solliciter,VER,,11.84,solliciter,request
dauphin,NOM,m,11.84,le dauphin,the dolphin
forger,VER,,11.84,forger,forger
aboyer,VER,,11.83,aboyer,bark
industrie,NOM,f,11.83,la industrie,the industry
préoccupation,NOM,f,11.83,la préoccupation,the concern
attentivement,ADV,,11.82,attentivement,attentively
puzzle,NOM,m,11.82,le puzzle,the jigsaw
voûté,ADJ,,11.82,voûté,vaulted
sottise,NOM,f,11.82,la sottise,stupidity
bizarrement,ADV,,11.82,bizarrement,strangely
vachement,ADV,,11.82,vachement,really
blanche,NOM,f,11.82,la blanche,the white one
dressé,ADJ,,11.82,dressé,trained
pendule,NOM,f,11.82,la pendule,the pendulum
figé,ADJ,,11.82,figé,fixed
tristement,ADV,,11.82,tristement,sadly
fringue,NOM,f,11.82,la fringue,the finch
vexer,VER,,11.79,vexer,to vex
enrichir,VER,,11.78,enrichir,enrich
régaler,VER,,11.78,régaler,to treat
serein,ADJ,,11.77,serein,serene
trouer,VER,,11.77,trouer,to pierce
roc,NOM,m,11.76,le roc,the rock
haleter,VER,,11.76,haleter,patient
mendiant,NOM,m,11.76,le mendiant,the beggar
tinter,VER,,11.76,tinter,inkwell
indécis,ADJ,,11.76,indécis,undecided
décoration,NOM,f,11.76,la décoration,the decoration
suffoquer,VER,,11.76,suffoquer,suffocate
exclamation,NOM,f,11.76,la exclamation,the exclamation
écorce,NOM,f,11.75,la écorce,the bark
cube,NOM,m,11.75,le cube,the cube
répit,NOM,m,11.75,le répit,the respite
évoluer,VER,,11.71,évoluer,evolve
aigre,ADJ,,11.69,aigre,sour
panne,NOM,f,11.69,la panne,the breakdown
gibier,NOM,m,11.69,le gibier,the game
senteur,NOM,f,11.69,la senteur,the scent
aisément,ADV,,11.69,aisément,easily
squelette,NOM,m,11.69,le squelette,the skeleton
verger,NOM,m,11.69,le verger,the orchard
irruption,NOM,f,11.69,la irruption,the irruption
ambulance,NOM,f,11.69,la ambulance,the ambulance
cape,NOM,f,11.69,la cape,the cape
dense,ADJ,,11.68,dense,dense
liasse,NOM,f,11.68,la liasse,the bundle
stérile,ADJ,,11.68,stérile,sterile
entraver,VER,,11.65,entraver,hinder
qualifier,VER,,11.64,qualifier,qualifier
maquillage,NOM,m,11.62,le maquillage,the make-up
aurore,NOM,f,11.62,la aurore,the dawn
naufrage,NOM,m,11.62,le naufrage,the shipwreck
in,ADJ,,11.62,in,in
illustrer,VER,,11.58,illustrer,illustrate
timidité,NOM,f,11.56,la timidité,shyness
frayer,VER,,11.56,frayer,spawn
permis,NOM,m,11.56,le permis,the permit
défunt,NOM,m,11.56,le défunt,the deceased
dé,NOM,m,11.56,le dé,the die
cascade,NOM,f,11.56,la cascade,the waterfall
générosité,NOM,f,11.56,la générosité,generosity
sèchement,ADV,,11.55,sèchement,dryly
pourpre,ADJ,,11.55,pourpre,purple
rame,NOM,f,11.55,la rame,the oar
conception,NOM,f,11.55,la conception,the design
notable,NOM,m,11.55,le notable,the notable
mollement,ADV,,11.55,mollement,softly
trente-cinq,ADJ:num,,11.55,trente-cinq,thirty five
ambiance,NOM,f,11.55,la ambiance,the atmosphere
chaleureux,ADJ,,11.55,chaleureux,welcoming
biscuit,NOM,m,11.55,le biscuit,the biscuit
offre,NOM,f,11.55,la offre,the offer
extase,NOM,f,11.55,la extase,the ecstasy
repentir,NOM,m,11.52,le repentir,repentance
affolé,ADJ,,11.49,affolé,panicked
trompette,NOM,f,11.49,la trompette,the trumpet
opposition,NOM,f,11.49,la opposition,the opposition
puant,ADJ,,11.49,puant,stinking
déplacement,NOM,m,11.49,le déplacement,the move
administratif,ADJ,,11.49,administratif,administrative
gitan,NOM,m,11.49,le gitan,the cat
o,NOM,m,11.49,le o,the one
brise,NOM,f,11.49,la brise,the breeze
âcre,ADJ,,11.49,âcre,acre
redonner,VER,,11.49,redonner,give back
description,NOM,f,11.489999999999998,la description,Here’s the description
passerelle,NOM,f,11.489999999999998,la passerelle,the gateway
bouchée,NOM,f,11.48,la bouchée,the bite
méfiant,ADJ,,11.48,méfiant,suspicious
collaborateur,NOM,m,11.48,le collaborateur,the collaborator
crisser,VER,,11.48,crisser,squeal
impassible,ADJ,,11.48,impassible,impassive
dériver,VER,,11.44,dériver,derive
prodiguer,VER,,11.44,prodiguer,to lavish
occupé,ADJ,,11.42,occupé,busy
volupté,NOM,f,11.42,la volupté,voluptuousness
trêve,NOM,f,11.42,la trêve,the truce
au-dehors,ADV,,11.42,au-dehors,outside
naviguer,VER,,11.42,naviguer,navigate
affranchir,VER,,11.42,affranchir,to free
sous-marin,NOM,m,11.42,le sous-marin,the submarine
lézard,NOM,m,11.42,le lézard,the lizard
guéridon,NOM,m,11.42,le guéridon,the pedestal table
étalage,NOM,m,11.42,le étalage,the display
bénéfice,NOM,m,11.419999999999998,le bénéfice,the benefit
couille,NOM,f,11.41,la couille,the ball
lisser,VER,,11.39,lisser,smooth
suicider,VER,,11.38,suicider,commit suicide
raisonnement,NOM,m,11.36,le raisonnement,the reasoning
aigle,NOM,m,11.36,le aigle,the eagle
consommer,VER,,11.36,consommer,consume
transparence,NOM,f,11.36,la transparence,transparency
affût,NOM,m,11.35,le affût,the lookout
fée,NOM,f,11.35,la fée,the fairy
écaille,NOM,f,11.35,la écaille,the scale
garnison,NOM,f,11.35,la garnison,the garrison
ravin,NOM,m,11.35,le ravin,the ravine
succession,NOM,f,11.35,la succession,the succession
barbelé,NOM,m,11.35,le barbelé,barbed wire
pasteur,NOM,m,11.35,le pasteur,the pastor
authentique,ADJ,,11.35,authentique,authentic
réforme,NOM,f,11.35,la réforme,the reform
mitraillette,NOM,f,11.35,la mitraillette,the machine gun
abruti,NOM,m,11.35,le abruti,the moron
fumant,ADJ,,11.35,fumant,smoking
jeté,ADJ,,11.34,jeté,thrown
reporter,VER,,11.31,reporter,reporter
décliner,VER,,11.3,décliner,decline
déserter,VER,,11.3,déserter,desert
épars,ADJ,,11.29,épars,scattered
hardi,ADJ,,11.29,hardi,hard
héroïque,ADJ,,11.29,héroïque,heroic
syllabe,NOM,f,11.29,la syllabe,the syllable
déferler,VER,,11.29,déferler,surge
cerise,NOM,f,11.29,la cerise,the cherry
négociation,NOM,f,11.29,la négociation,the negotiation
estrade,NOM,f,11.29,la estrade,the platform
fouille,NOM,f,11.29,la fouille,the search
espion,NOM,m,11.29,le espion,the spy
récréation,NOM,f,11.29,la récréation,recess
intolérable,ADJ,,11.28,intolérable,intolerable
confrère,NOM,m,11.28,le confrère,the brother
cartable,NOM,m,11.28,le cartable,the schoolbag
balustrade,NOM,f,11.28,la balustrade,at the railings
résolu,ADJ,,11.28,résolu,resolved
lard,NOM,m,11.28,le lard,the bacon
costaud,ADJ,,11.28,costaud,sturdy (of a person)
bêtement,ADV,,11.28,bêtement,stupidly
démolir,VER,,11.26,démolir,demolish
affaisser,VER,,11.24,affaisser,collapse
nuire,VER,,11.24,nuire,harm
rayer,VER,,11.23,rayer,to scratch
masculin,ADJ,,11.23,masculin,male
destinée,NOM,f,11.22,la destinée,destiny
hautain,ADJ,,11.22,hautain,haughty
complaisance,NOM,f,11.22,la complaisance,complacency
abominable,ADJ,,11.22,abominable,abominable
indéfiniment,ADV,,11.22,indéfiniment,indefinitely
timidement,ADV,,11.22,timidement,timidly
c,ADJ:num,,11.21,c,c
invasion,NOM,f,11.21,la invasion,the invasion
poussée,NOM,f,11.21,la poussée,the push
fantastique,ADJ,,11.21,fantastique,fantastic
métamorphose,NOM,f,11.21,la métamorphose,the metamorphosis
parade,NOM,f,11.21,la parade,the parade
exploiter,VER,,11.19,exploiter,exploit
rincer,VER,,11.18,rincer,rinse
dispenser,VER,,11.17,dispenser,dispenser
accroître,VER,,11.17,accroître,increase
tisser,VER,,11.16,tisser,weave
déceler,VER,,11.16,déceler,detect
azur,NOM,m,11.15,le azur,the azure
expert,NOM,m,11.15,le expert,the expert
carabine,NOM,f,11.15,la carabine,the rifle
avancé,ADJ,,11.15,avancé,advance
brutalité,NOM,f,11.15,la brutalité,brutality
patiemment,ADV,,11.15,patiemment,patiently
sécheresse,NOM,f,11.15,la sécheresse,drought
développement,NOM,m,11.15,le développement,development
divorce,NOM,m,11.15,le divorce,divorce
plate-forme,NOM,f,11.15,la plate-forme,the platform
traduction,NOM,f,11.15,la traduction,the translation
parcelle,NOM,f,11.14,la parcelle,the plot
toc,ADJ,,11.14,toc,toc
obsession,NOM,f,11.14,la obsession,The obsession
resserrer,VER,,11.11,resserrer,tighten
réprimer,VER,,11.1,réprimer,repress
ronronner,VER,,11.1,ronronner,purr
replonger,VER,,11.09,replonger,dive back in
versant,NOM,m,11.09,le versant,the slope
enveloppé,ADJ,,11.08,enveloppé,envelope
majestueux,ADJ,,11.08,majestueux,majestic
foncé,ADJ,,11.08,foncé,dark (colour)
éphémère,ADJ,,11.08,éphémère,short-lived
intuition,NOM,f,11.08,la intuition,the intuition
au-devant,ADV,,11.08,au-devant,in front
coupure,NOM,f,11.079999999999998,la coupure,the cut
polir,VER,,11.04,polir,polish
pétrir,VER,,11.04,pétrir,knead
compris,ADJ,,11.02,compris,Understood
brousse,NOM,f,11.02,la brousse,the bush
barman,NOM,m,11.02,le barman,the bartenders
crasseux,ADJ,,11.02,crasseux,filthy
cognac,NOM,m,11.02,le cognac,cognac
provocation,NOM,f,11.02,la provocation,the provocation
assoupir,VER,,11.02,assoupir,to doze off
adoucir,VER,,11.02,adoucir,soften
bise,NOM,f,11.02,la bise,the kiss
charnel,ADJ,,11.02,charnel,carnal
redoubler,VER,,11.02,redoubler,to redouble
tilleul,NOM,m,11.01,le tilleul,the linden tree
penché,ADJ,,11.01,penché,leaning
fiévreux,ADJ,,11.01,fiévreux,feverish
tranquillité,NOM,f,11.01,la tranquillité,tranquility
orgueilleux,ADJ,,11.01,orgueilleux,proud
égoïste,ADJ,,11.01,égoïste,selfish
crétin,NOM,m,11.01,le crétin,the moron
raie,NOM,f,11.01,la raie,the ray
péniblement,ADV,,11.01,péniblement,painfully
invoquer,VER,,10.98,invoquer,invoke
négatif,ADJ,,10.96,négatif,negative
protégé,NOM,m,10.96,le protégé,the protégé
enfler,VER,,10.96,enfler,swell
déconner,VER,,10.96,déconner,mess around
arrondi,ADJ,,10.96,arrondi,rounded
choisi,ADJ,,10.96,choisi,selected
circulaire,ADJ,,10.95,circulaire,circular
verdure,NOM,f,10.95,la verdure,greenery
bosser,VER,,10.95,bosser,work
température,NOM,f,10.95,la température,the temperature
soumission,NOM,f,10.95,la soumission,submission
sur-le-champ,ADV,,10.95,sur-le-champ,on the spot
surplus,NOM,m,10.95,le surplus,the surplus
incrédule,ADJ,,10.95,incrédule,incredulous
littéralement,ADV,,10.95,littéralement,literally
tapisser,VER,,10.95,tapisser,to wallpaper
sordide,ADJ,,10.95,sordide,sordid
piqûre,NOM,f,10.94,la piqûre,the sting
émission,NOM,f,10.94,la émission,the show
austère,ADJ,,10.94,austère,austere
malice,NOM,f,10.94,la malice,the malice
gouttière,NOM,f,10.94,la gouttière,the gutter
résidence,NOM,f,10.94,la résidence,the residence
attachement,NOM,m,10.94,le attachement,the attachment
artifice,NOM,m,10.94,le artifice,the artifice
lucidité,NOM,f,10.94,la lucidité,lucidity
occupant,NOM,m,10.9,le occupant,the occupant
desserrer,VER,,10.89,desserrer,to loosen
river,VER,,10.88,river,river
téléphonique,ADJ,,10.88,téléphonique,telephone
mécontent,ADJ,,10.88,mécontent,unhappy
pilote,NOM,m,10.88,le pilote,the pilot
sillage,NOM,m,10.88,le sillage,the wake
plaisant,ADJ,,10.88,plaisant,pleasant
diplomate,NOM,m,10.88,le diplomate,the diplomat
dictionnaire,NOM,m,10.88,le dictionnaire,the dictionary
axe,NOM,m,10.88,le axe,the axis
habileté,NOM,f,10.88,la habileté,the skill
fraction,NOM,f,10.88,la fraction,the fraction
clochard,NOM,m,10.88,le clochard,the tramp
cycliste,NOM,m,10.88,le cycliste,the cyclist
ferveur,NOM,f,10.88,la ferveur,fervor
énigme,NOM,f,10.88,la énigme,the riddle
inaccessible,ADJ,,10.88,inaccessible,inaccessible
rade,NOM,f,10.88,la rade,the harbor
député,NOM,m,10.88,le député,the deputy
mourant,ADJ,,10.87,mourant,dying
négocier,VER,,10.84,négocier,negotiate
entente,NOM,f,10.82,la entente,the agreement
étinceler,VER,,10.82,étinceler,sparkle
révolter,VER,,10.82,révolter,to revolt
exhaler,VER,,10.82,exhaler,exhale
goulot,NOM,m,10.82,le goulot,the bottleneck
pompier,NOM,m,10.81,le pompier,the fireman
désespérément,ADV,,10.81,désespérément,desperately
casino,NOM,m,10.81,le casino,the casino
réverbère,NOM,m,10.81,le réverbère,the street lamp
siffloter,VER,,10.81,siffloter,sifflots
souveraineté,NOM,f,10.81,la souveraineté,sovereignty
honorable,ADJ,,10.81,honorable,honorable
anxieux,ADJ,,10.81,anxieux,anxious
perplexe,ADJ,,10.81,perplexe,perplexed
ardoise,NOM,f,10.81,la ardoise,the slate
néon,NOM,m,10.81,le néon,the neon
étroitement,ADV,,10.81,étroitement,closely
arête,NOM,f,10.81,la arête,the edge
peigne,NOM,m,10.81,le peigne,the comb
organisme,NOM,m,10.81,le organisme,the organism
ingrat,ADJ,,10.8,ingrat,ungrateful
décréter,VER,,10.77,décréter,decree
liquider,VER,,10.76,liquider,liquidate
ahuri,ADJ,,10.76,ahuri,stunned
artisan,NOM,m,10.75,le artisan,the craftsman
consolation,NOM,f,10.75,la consolation,la consolation
dru,ADJ,,10.75,dru,dru
nuée,NOM,f,10.75,la nuée,the cloud
créateur,NOM,m,10.75,le créateur,the creator
entourage,NOM,m,10.75,le entourage,the entourage
métropole,NOM,f,10.75,la métropole,the metropolis
compact,ADJ,,10.74,compact,compact
accompli,ADJ,,10.74,accompli,accomplished
transpirer,VER,,10.74,transpirer,sweat
apéritif,NOM,m,10.74,le apéritif,the aperitif
peloton,NOM,m,10.74,le peloton,the platoon
végétal,ADJ,,10.74,végétal,vegetal
matinal,ADJ,,10.74,matinal,morning
cible,NOM,f,10.74,la cible,the target
patate,NOM,f,10.74,la patate,the potatoes
promis,ADJ,,10.74,promis,promised
cardinal,NOM,m,10.74,le cardinal,the cardinal
rectifier,VER,,10.71,rectifier,rectifier
rebondir,VER,,10.69,rebondir,bounce
viril,ADJ,,10.68,viril,virile
fagot,NOM,m,10.68,le fagot,the bundle
zèle,NOM,m,10.68,le zèle,zeal
impitoyable,ADJ,,10.68,impitoyable,ruthless
clôture,NOM,f,10.68,la clôture,the fence
marais,NOM,m,10.68,le marais,the swamp
sensuel,ADJ,,10.68,sensuel,sensual
îlot,NOM,m,10.68,le îlot,the islet
reçu,NOM,m,10.67,le reçu,the receipt
miennes,PRO:pos,,10.67,miennes,mine
détente,NOM,f,10.67,la détente,relaxation
craie,NOM,f,10.67,la craie,the chalk
refrain,NOM,m,10.67,le refrain,the chorus
mannequin,NOM,m,10.67,le mannequin,the model (fashion)
prétention,NOM,f,10.67,la prétention,the claim
naïveté,NOM,f,10.67,la naïveté,naivety
